comment
😂😂😂😂😂😂😂😂😂
Nak gelak pun ada
"Sampai bila nak hadkan rentas negeri ? Kenapa byk negara luar khususnya china, austrlia tiada sekatan lgsung utk rakyat mereka kesana sini. Kdg2 tak fhm juga mcm mana kes kejap2 meningat sdgkan byk keadaan tersekat. Yg berpangkat besar mudah saja kesana sini. Nk blk kg pn mudah. Tp rakyat ? 😢"
@cikpuansheema louder 👏
@cikpuansheema biasanya kes disebabkan kluster pembinaan / warga asing. Bukan rakyat sini.
kerajaan gagal
Bukan racist kenapa perayaan lain boleh dgn sop tp raya utk org islam x boleh?islam ka tak islam???x perlu saya sebut perayaan apa yg dibenarkan tu ya
Tan sri berilah kebenaran rentas negeri tahun ni...takde ziarah menziarahi ckup la jumpa kedua org tua😭
#kerajaangagal
"Hurmm mmg bersyukur tapi kami semua nak beraya macam tahun2 lps , bagi lah kami rentas negeri untuk balik ke kg halaman .."
tahun lepas raya xle rentas negeri..raya tahun ni xle retas negeri pulak😢😭😭😭.tolongla bagi kami rentas negeri😭😭
"Salam Ramadan @muhyiddinyassin_official..ada permintaan sikit ni,, sempena aidilfitri nanti buatlah rentas negeri secara berperingkat..kesian pada mereka yg dah lama tak jumpa keluarga di kampung halaman.. org ramai boleh pegi ke mall ke bazar ke restoran, takkan la balik kampung tak boleh..yg penting ikut SOP yg ditetapkan.."
"@nurlinhanim patutnya dibenarkan balik kg dengan syarat swab terlebih dahulu.. Kalau result negatif, patutnya dibenarkan balik kg.. Balik sorang diri pun takpe..sampai bila kalau macam ni.."
Allahu !!!! Moge di izinkn kali ini untk rentas ngeri.... Tlong laaaaaa tan sri sy merayu sesangat.... Kesian mak ayah sy rindukn cucu dyeee.. da berbulan x jumpe... Dapat balik jenguk sekejap pun jd lahhhh tan sri.. Moge Allah permudhkn urusan tan sri . Tlong laahhh pertimbangkn..😢😭
#kerajaangagal
Tan sri sy mohon jgk bg pihak yg lain tlg la bg kami rentas negeri aidilfitri ni..ade diantara kmi sjk pkp 1 lom smpt menemui family..sy pn begitu tan sri..kami x tau covid ni bila abis n aidilfitri akn dtg dkh kmi bole menemui kluarga kmi lg..cdgn sy kite dh usaha dh ikhtiar dn smpi masa kite tawakal..sy cdgkn jgk adakn smula solat hajat n bacaan yasin spt pkp lalu untuk mohon bantuan Allah menentang covid ni..sy merayu n memohon..kasihani la kmi rakyat ni tan sri..ade keluarga di kg...
Mrilh kita semua rakyat di malaysia sama sama buat solat hajat minta pada allah suruh tunjuk sebenarnya perkara 🙂 sbb dh rasa terlalu teruk
abah benarkanlh rentas negeri😢sampai skrg sy msih berharap😭😭@muhyiddinyassin_official
"Tanpa Moratorium Automatik, dalam tempoh Darurat Pandemik ini, kerja baru takde, pendapatan Kurang ! Gaji Menteri puluhan Ribu, Bank Untong Berbilion.\nBank sedang Mengganas Tarik Kereta dan Melelong Hartanah Rakyat!!!\nRakyat nak mengadu kpd Siapa lagi?\n#KerajaanGagal YDP Agong 🙏"
Tutup sekolah please 😢❤️
Ramadan murabak
PKP PLEASE😢😩
"Abah bagila kami merentas balik kg, somehow kalau org yg merentas ni bukannya nak merayap pun just dok rumah temankan mak ayah dah tua, kesian, paling2 pun pergi pasar. Beli lauk nak raya Aje pun abah. Kesiankanla kami yg mak ayah dah uzur, mereka pun nak jumpa cucu2 sebelum menutup mata"
tukar jela pemimpin
Mahiaddin bukan Muhyiddin
ZALIM.
"Dah lah tu..jgn lagi menghasut..Tangguh undi18 sebab takut Orang Muda tak sokong PNipu. Tak menerima ajakan debat sebab takut didedahkan betapa hypocrite. Jangan nak cakap pasal fokus membantu rakyat, tak asyik berpolitik..siap suruh menteri beli katak katak..malulah"
Sentiasa terbalikkan kod undang2 negara malaysia supaya mesej sebenar berjaya dikecapi rakyat jelata
"Terbalik 24 jam, supaya sempurna darpada sabotaj amal jariah iblis&syaitan"
ejas awal sket smua bntuan tu
#FuckYouMotherFucker
Indogbabi
#FuckYouMotherFucker
@pdrmsia_official
@muhyiddinyassin_official Your attitude was so fuck
"Assalamualaikum. Do you have old Malaysian, Dubai, UAE, Singapore,Brunei,US Dollar ,China coin or note for sale!! Am old money collector DM me if you have. $5,000per pieces. WhatsApp +1\xa0(520)\xa0815‑7526"
Masukkan didalam biodata;  iq tinggi luarbiasa untuk seluruh rakyat jelata
"IQ,EQ,SQ yang tidak logik untuk menjaga kebajikan& kesihatan manusia"
Mereka ialah genius2 luarbiasa
"Seorang yang sangat genius& ber IQ,EQ,SQ luarbiasa tinggi besar kuat kebat ,cantik, baik hati"
Tarik pelabor invest Malaysia dsai nak u downnnnnnn jagn salah langkah
@muhyiddinyassin_official #FuckYouMotherFucker
kerajaan gagal double standard!
Alhamdulillah. Terima Kasih YB Tan Sri. Moga Allah sentiasa memudahkan urusan & mengikhlaskan hati YB Tan Sri utk berkhidmat kepada rakyat & khususnya kepada Allah swt & Rasulullah saw. Semoga segalanya diberkati Allah & menjadi bekalan akhirat buat YB.
"Minyak for the past one year turun. Tapi brg2 mknan n keperluan tak turun.. ni minyak naik, baik u make sure all these mofos doesnt raise up the price..\nThnk you PM"
❤️❤️
M40
👍
"Haa, lepastu kang ada lagi yg bising gaji sebulan tak cukup... Malas aku nak panjang² kan, kang kena kecam nnti 😂"
Kalau Indonesia di subsidi gitu kayak Malaysia...bisa rugi besar negaraku😅🇮🇩🇮🇩🇮🇩🤝🇲🇾🇲🇾🇲🇾🇲🇾
Alhamdulilah❤️❤️❤️❤️❤️❤️❤️
❤️❤️❤️❤️
Runcit itu apa ?
Alhamdulillah PM yg trbaik stkt ni❤️❤️❤️❤️
Barokallahu khoiron katsiro pm
Masyehh😢
"Tetapi macam mana dekat Brunei, minyak diaorang murah? Diesel lagi murah? Boleh tak dapat penjelasan? Terima kasih."
@raihandnd gila babi kau keluar dalam video pm🤣🤣🤣 pemess
Terima kasih
Makin menympah dah aku hujung2 nk sembelih rakyat kompaun 10K
