Category,Category Url,Title,Title Url,Area,Area Url,Author,Author Url,Date,Keyword,Content
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,Government asked to provide financial aid to cinema operators,https://www.thestar.com.my/lifestyle/entertainment/2020/08/11/government-asked-to-provide-financial-aid-to-cinema-operators,MOVIES,https://www.thestar.com.my/lifestyle/movies,AGENCY,https://www.thestar.com.my/authors?q=AGENCY,08-12-2020,None,"The government has been urged to provide financial support to cinema operators in the country, who are experiencing cash flow problems since the implementation of the movement control order (MCO) to curb the spread of the Covid-19 pandemic.
MCAT Box Office Sdn Bhd (MBO Cinemas) chief operating officer Cheah Chun Wai said it was learnt that the industry suffered a 55% drop in sales during the first three months of the outbreak and no sales at all during the subsequent three months."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,"As Korean content goes global, cultural sensitivity becomes key issue",https://www.thestar.com.my/lifestyle/entertainment/2020/08/12/as-korean-content-goes-global-cultural-sensitivity-becomes-key-issue,ENTERTAINMENT,https://www.thestar.com.my/lifestyle/entertainment,AGENCY,https://www.thestar.com.my/authors?q=AGENCY,08-12-2020,"Ji Chang-wook,Racial,Global,South Korea,Zo Bin,Hwasa","When students from Uijeongbu High School in South Korea parodied Ghana’s famous dancing pallbearers, South Korea-based Ghanaian television personality Sam Okyere took to social media to criticise the students for painting their faces brown.
A few days later, Okyere apologised after people said it was inappropriate to post a photo of the students without permission. They also took exception to his use of the hashtag “#teakpop, ” which is typically used in a derogatory way about K-pop."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,Women say they will fight ugly attacks on Harris,https://www.thestar.com.my/lifestyle/family/2020/08/12/women-say-they-will-fight-ugly-attacks-on-harris,FAMILY,https://www.thestar.com.my/lifestyle/family,None,None,08-12-2020,"Kamala Harris,Cyber Buullying,Women,Equal Rights,Misogyny","In the weeks before Joe Biden named Senator Kamala Harris his running mate, women's groups were readying a campaign of their own: shutting down sexist coverage and disinformation about a vice presidential nominee they say is headed for months of false smears and ""brutal” attacks from internet haters.
The groups put the media on notice in recent days that they will call out bias - one campaign is dubbed ""We Have Her Back” - and established a ""war room” to refute sexist or false attacks as they happen."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,Singer and actor Trini Lopez dies of Covid-19 at 83,https://www.thestar.com.my/lifestyle/entertainment/2020/08/12/singer-and-actor-trini-lopez-dies-of-covid-19-at-83,ENTERTAINMENT,https://www.thestar.com.my/lifestyle/entertainment,AGENCY,https://www.thestar.com.my/authors?q=AGENCY,08-12-2020,None,"Trini Lopez, the pop singer and guitarist who also acted in Robert Aldrich's The Dirty Dozen, died Tuesday (Aug 11) of complications from Covid-19.
Palm Springs Life magazine first reported his death; he was a longtime resident of the desert enclave. Filmmakers P. David Ebersole and Todd Hughes had recently completed a documentary about his life, which was featured in the magazine."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,Is it unsafe or illegal when driving in flip-flops?,https://www.thestar.com.my/lifestyle/living/2020/08/12/is-it-unsafe-or-illegal-when-driving-in-flip-flops,LIVING,https://www.thestar.com.my/lifestyle/living,AGENCY,https://www.thestar.com.my/authors?q=AGENCY,08-12-2020,"Driving Safety,Footwear","When it’s hot outside, it’s tempting to wear flip-flops or even take off your shoes for the drive home. However, while it’s certainly more convenient after a trip to the pool or beach, is it safe to take the wheel in such attire?
Many countries, from South Africa to New Zealand, don’t have specific legislation that bans drivers from wearing flip-flops or going barefoot."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,"Streetwear is now fashion's new luxury, and Malaysia isn't left out of the scene",https://www.thestar.com.my/lifestyle/style/2020/08/12/streetwear-is-now-fashion039s-new-luxury-and-malaysia-isn039t-left-out-of-the-scene,STYLE,https://www.thestar.com.my/lifestyle/style,Bervin Cheong,https://www.thestar.com.my/authors?q=Bervin++Cheong,08-12-2020,"Fashion,Streetwear,Luxury Fashion,Trends,Malaysian Designer,Pestle & Mortar Clothing,Sneakerlah","The worlds of luxury fashion and streetwear are increasingly intertwined. Malaysia, for one, is not being left out as the trend sweeps across the globe.

Sneakerlah, a local sneakers, streetwear and lifestyle convention, attracted a total of 17,000 visitors in 2015. The annual event now gets an average of 33,000 people coming in over a two-day weekend.
Co-founder Bryan Chin says it is safe to claim that streetwear is becoming a big thing here. He is seeing more people wearing luxury sneakers attending Sneakerlah. Balenciaga or Gucci sneakers, for instance."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,US schools mull outdoor classes amid virus,https://www.thestar.com.my/lifestyle/family/2020/08/11/us-schools-mull-outdoor-classes-amid-virus,FAMILY,https://www.thestar.com.my/lifestyle/family,AGENCY,https://www.thestar.com.my/authors?q=AGENCY,08-12-2020,"Schooling,Children,Family","It has been seven years since the central air conditioning system worked at the New York City middle school where Lisa Fitzgerald O’Connor teaches. As a new school year approaches amid the coronavirus pandemic, she and her colleagues are threatening not to return unless it's repaired.
Her classroom has a window air conditioning unit, but she fears the stagnant air will increase the chances that an infected student could spread the virus."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,Indian actor Sanjay Dutt rumoured to have lung cancer after cleared of Covid-19,https://www.thestar.com.my/lifestyle/entertainment/2020/08/12/indian-actor-sanjay-dutt-rumoured-to-have-lung-cancer-after-cleared-of-covid-19,MOVIES,https://www.thestar.com.my/lifestyle/movies,KENNETH CHAW,https://www.thestar.com.my/authors?q=KENNETH+CHAW,08-12-2020,"Movies,Sanjay Dutt,Bollywood","Renowned Bollywood actor Sanjay Dutt has been diagnosed with lung cancer, according to reports by major Indian news agencies such as The Hindustan Times, The Times Of India and Indo-Asian News Agency.
Bollywood trade analyst and film industry insider Komal Nahta also tweeted about the 61-year-old's cancer diagnosis.
However, Sanjay himself has not confirmed the news.
It all started when the Khalnayak actor complained of chest discomfort and breathlessness and was rushed to the hospital.
He told fans not to worry about him, as he was cleared of Covid-19, in an Aug 9 tweet: ""Just wanted to assure everyone that I’m doing well. I’m currently under medical observation & my COVID-19 report is negative.
""With the help & care of the doctors, nurses & staff at Lilavati hospital, I should be home in a day or two. Thank you for your well wishes & blessings.""
Two days later, on Aug 11, he tweeted he will be taking time off to seek medical treatment but did not specify further.
“Hi friends, I am taking a short break from work for some medical treatment. My family and friends are with me and I urge my well-wishers not to worry or unnecessarily speculate. With your love and good wishes, I will be back soon!”
Our prayers and well-wishes are with you Sanjay."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,Gandhi's iconic glasses go on sale in Britain for more than RM250k,https://www.thestar.com.my/lifestyle/culture/2020/08/12/gandhi039s-iconic-glasses-go-on-sale-in-britain-for-more-than-rm250k,ARTS,https://www.thestar.com.my/lifestyle/arts,AGENCY,https://www.thestar.com.my/authors?q=AGENCY,08-12-2020,"Auction,Gandhi,Glasses,Gift,Britain","A ""rare and important"" pair of iconic glasses worn by Indian independence hero Mahatma Gandhi look set to sell for tens of thousands of pounds after a British auction house put them up for sale on Monday.
The gold-plated spectacles were stuffed through the letterbox of East Bristol Auctions in southwest England last Friday, with a letter attached saying,""these glasses belonged to Gandhi, give me a call,"" auctioneer Andrew Stowe told Sky News."
Lifestyle,https://www.thestar.com.my/news/latest?tag=Lifestyle,Phil Collins' 80s song 'In The Air Tonight' is a hit again after viral reaction video,https://www.thestar.com.my/lifestyle/entertainment/2020/08/12/phil-collins039-80s-song-039in-the-air-tonight039-is-a-hit-again-after-viral-reaction-video,MUSIC,https://www.thestar.com.my/lifestyle/music,AGENCY,https://www.thestar.com.my/authors?q=AGENCY,08-12-2020,"Phil Collins,In The Air Tonight,Twinsthenewtrend","Phil Collins' 1981 anthem In The Air Tonight is a hit once again thanks to a reaction video starring a pair of brothers hearing the song, particularly its famous drum break, for the first time.
As of Monday (Aug 10) afternoon,In The Air Tonight was the fourth best-selling track of the week, up from 185th-best the week prior."
