Country,2016,2010,2005,2000
Brunei Darussalam,,,,
Cambodia,0.6,0.8,1.1,1.6
Indonesia,0.4,0.4,0.2,<0.1 
Lao People's Democratic Republic,0.3,0.3,0.2,<0.1 
Malaysia,0.4,0.6,0.7,0.7
Myanmar,0.8,0.9,0.9,0.8
Philippines,0.1,<0.1 ,<0.1 ,<0.1 
Singapore,,,,
Thailand,1.1,1.3,1.5,1.8
Viet Nam,0.4,0.4,0.4,0.2
,,,,
,,,,
