comment_id,video_id,video_url,comment_url,text_original,author_name,author_img_url,author_channel_url,can_rate,viewer_rating,like_count,published_at,updated_at,crawled_date,crawled_time,can_reply,total_reply_count,is_public
UgwvQCq1Pl2kBtgOIdV4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgwvQCq1Pl2kBtgOIdV4AaABAg,Yo nada más vi al mono que se asomo,Antonio Irigoyen,https://yt3.ggpht.com/ytc/AAUvwnjDN5VhkhDOAJ6xsNU1KFOQw-jt61aWPWLSXw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC25u-NNC5o3XmA8O1Wd-LVQ,True,none,0,2021-04-22T22:00:47Z,2021-04-22T22:00:47Z,2021-04-23,23:10:36,True,0,True
Ugzy_XmEAeh2RTwXbCp4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=Ugzy_XmEAeh2RTwXbCp4AaABAg,Siii otra caja,Moisés Pérez,https://yt3.ggpht.com/ytc/AAUvwnjBeA6wtKzHl4AlsdTdKF4Tx8FRaqn8IAvS2gmiUQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCgshrYQWa_Bfl9U-KDVEPMg,True,none,1,2021-04-22T21:58:19Z,2021-04-22T21:58:19Z,2021-04-23,23:10:36,True,0,True
Ugwq11Iu5o2L4rFdToF4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=Ugwq11Iu5o2L4rFdToF4AaABAg,Habré otra porfa 🙏,pablo canovas diaz,https://yt3.ggpht.com/ytc/AAUvwngCIXffldUA6S8z7cgkuYzSVX5ZmBrf9pWpUQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCb_eAza4mEH7-G9qi8M0g3Q,True,none,0,2021-04-22T21:57:21Z,2021-04-22T21:57:21Z,2021-04-23,23:10:36,True,0,True
UgwS8j1_n1Nf0rBNGU94AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgwS8j1_n1Nf0rBNGU94AaABAg,amo ver estos videos..,Ceci Suarez,https://yt3.ggpht.com/ytc/AAUvwnjAB5B5Djt-NhnPUZbRL_FCy0g9IvbPeAjpmxNJ4Uo=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCylXpgzttvm-F_mK9zkl80Q,True,none,0,2021-04-22T21:57:10Z,2021-04-22T21:57:10Z,2021-04-23,23:10:36,True,0,True
Ugy5xjwBVl3TonFaY_l4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=Ugy5xjwBVl3TonFaY_l4AaABAg,Porfi pon de los descendientes porfaaa !!!descendientes!!!,Loli Fernandez,https://yt3.ggpht.com/ytc/AAUvwng-QifSe_U7ZQ1yJpotu1m-Xdw5klX2LVlGJw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCjjxL84vJlmF7zaV6oT6dHw,True,none,0,2021-04-22T21:56:59Z,2021-04-22T21:56:59Z,2021-04-23,23:10:36,True,0,True
UgxmeUuPr0WH6emBqfN4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgxmeUuPr0WH6emBqfN4AaABAg,"Me encanto el video, jajajaja me diverti mucho. tu felicidad es contagiosa. has otro video!!!! excelente.",Naidu Arasme,https://yt3.ggpht.com/ytc/AAUvwnjk1weKdBAD9UZDeLdVIXua4ZMmcaRxopZvUzvHnw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UClkI987LDacuJBFuqF4_d2w,True,none,0,2021-04-22T21:56:29Z,2021-04-22T21:56:29Z,2021-04-23,23:10:36,True,0,True
Ugz5hl531unKWh9IVvN4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=Ugz5hl531unKWh9IVvN4AaABAg,aqui los que vayamos a estar igual que el alien el 9 de mayo,StoneBoy,https://yt3.ggpht.com/ytc/AAUvwngzH4sARJ0jhjDhmQ8ebApdbV4nndsP7Hoco5df-w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCqiUSQrnzM-C-SSMECCF1Tg,True,none,0,2021-04-22T21:56:29Z,2021-04-22T21:56:29Z,2021-04-23,23:10:36,True,0,True
UgzI8RpUKUEbUt6M58B4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgzI8RpUKUEbUt6M58B4AaABAg,Todavía amo el I💩 you,Lilia Miranda,https://yt3.ggpht.com/ytc/AAUvwnjLmO3lBojvvEIUJFUx-v-JvZ9VhRUgFOpdIQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCELfuXqh5e6G_zRlZYHGYDA,True,none,0,2021-04-22T21:55:38Z,2021-04-22T21:55:38Z,2021-04-23,23:10:36,True,0,True
UgwWKJFUdq8hOKm2ewJ4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgwWKJFUdq8hOKm2ewJ4AaABAg,"<a href=""https://www.youtube.com/watch?v=q1lCEB683O8&amp;t=0m10s"">0:10</a> Me parece que ayer tuvo una buena fiesta ese alien.",santiago malki,https://yt3.ggpht.com/ytc/AAUvwnh4CjBUVZu0HgVxjUcicsuhjOxd8HyiM53Tug=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCPr5eMLVvuQpOb0lgBjjagA,True,none,21,2021-04-22T21:55:29Z,2021-04-22T21:55:29Z,2021-04-23,23:10:36,True,2,True
UgwB98M1RkrszlcAnSF4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgwB98M1RkrszlcAnSF4AaABAg,Mi abuela tiene el celular ese nosé cuanto se llama,Sakura_yt_uwu sakura_kun,https://yt3.ggpht.com/ytc/AAUvwnhrgqqzav-T3pGxX47u3P4CCYyaOX5ODuKb-DHb=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCk_HZAtNO_siMnLCCnToWAA,True,none,0,2021-04-22T21:54:47Z,2021-04-22T21:54:47Z,2021-04-23,23:10:36,True,0,True
